0	2695	0.0
1	1363	0.6
2	2691	1.0
3	2705	1.0
4	2552	1.5
5	1364	1.6
6	2688	2.4
7	1521	3.2
8	2111	4.0
9	2196	4.0
10	0314	4.7
11	2465	4.8
12	2553	5.2
13	2533	5.3
14	2557	5.4
15	2675	5.7
16	1525	5.8
17	2092	6.0
18	2692	6.7
19	2697	6.9
20	2687	8.2
21	2690	9.3
22	0313	9.7
23	2616	9.8
24	1096	11.8
25	1013	12.0
26	2726	13.0
27	2467	14.2
28	1071	14.3
29	2461	14.4
30	2618	14.4
31	2473	15.0
32	2463	15.5
33	2486	16.6
34	2623	17.4
35	2530	17.9
36	2626	18.6
37	2532	20.0
38	2646	20.6
39	2487	21.1
40	2588	21.9
41	2481	22.4
42	2627	22.6
43	2194	24.1
44	2685	24.6
45	2551	24.6
46	2554	26.2
47	2215	27.2
48	2485	27.3
49	2682	27.6
50	2148	28.0
51	2622	28.3
52	2388	29.0
53	2470	29.1
54	2384	31.2
55	2647	31.9
56	0311	32.6
57	1334	33.1
58	2228	33.4
59	1361	34.0
60	2387	34.5
61	2693	35.0
62	2055	37.0
63	2459	36.7
64	1239	37.8
65	2625	37.9
66	2471	38.3
67	2174	39.6
68	2158	39.9
69	2227	38.9
70	2550	39.6
71	2474	40.4
72	2349	40.8
73	2648	40.8
74	2574	42.2
75	2046	42.4
76	2706	43.0
77	2707	43.0
78	2483	43.0
79	2238	43.6
80	2633	44.8
81	2634	44.8
82	2041	45.2
83	2319	45.5
84	1607	45.0
85	2068	46.6
86	2542	46.9
87	1355	47.3
88	2248	47.9
89	2469	47.7
90	2484	47.7
91	2098	48.8
92	2683	48.8
93	2531	49.0
94	2231	49.7
95	1606	50.7
96	2696	51.2
97	2540	50.8
98	1522	51.8
99	2389	53.0
100	2392	53.8
101	2240	54.3
102	2679	54.2
103	2184	54.7
104	2478	54.8
105	2686	55.9
106	2054	56.4
107	2637	56.7
108	2433	58.5
109	2324	58.2
110	2571	59.7
111	2462	60.3
112	2561	60.5
113	2628	60.7
114	2183	61.3
115	2375	61.1
116	1506	61.4
117	2226	61.6
118	2125	62.0
119	2127	62.1
120	2464	62.4
121	2573	62.4
122	2327	63.3
123	1354	63.3
124	2067	63.9
125	2493	63.9
126	2580	64.3
127	2087	65.0
128	2528	65.5
129	2316	65.7
130	2458	66.3
131	2124	66.7
132	2704	67.5
133	2358	68.3
134	2073	69.2
135	2673	68.3
136	2479	68.9
137	2143	69.1
138	2074	69.9
139	2192	69.1
140	2280	69.3
141	2472	70.2
142	2114	71.0
143	2126	73.9
144	2339	73.9
145	1265	74.6
146	2213	74.3
147	2154	74.4
148	2475	75.3
149	2357	75.2
150	2591	75.2
151	2355	76.1
152	2121	76.9
153	2377	76.2
154	2558	76.9
155	2066	77.2
156	2042	78.0
157	2636	78.1
158	2029	78.3
159	2099	78.5
160	2258	78.6
161	2541	79.8
162	2338	80.9
163	1273	80.9
164	1256	81.3
165	2234	81.3
166	2480	81.8
167	2539	82.3
168	2329	82.9
169	2396	84.5
170	1220	84.5
171	2279	84.8
172	2133	85.3
173	1362	85.7
174	2615	86.3
175	2164	86.6
176	2414	86.4
177	2520	87.0
178	2075	87.8
179	2521	88.4
180	2229	89.0
181	1520	90.7
182	2337	91.2
183	2496	91.3
184	2416	91.6
185	2597	92.0
186	2563	93.6
187	1207	94.4
188	2398	95.1
189	2562	95.6
190	2385	95.2
191	2136	95.7
192	2267	96.4
193	1352	97.9
194	2347	98.4
195	1206	99.4
196	1025	100.9
197	2078	100.8
198	1090	101.0
199	2036	101.5
200	2393	102.2
201	2083	102.1
202	2535	103.0
203	2094	104.1
204	2499	104.2
205	2341	104.9
206	2394	105.1
207	2277	105.6
208	1353	107.0
209	2195	108.4
210	1340	108.4
211	2146	108.6
212	2023	108.5
213	1523	109.6
214	2239	109.7
215	0627	110.3
216	2605	110.1
217	2513	110.8
218	2698	110.7
219	2624	111.3
220	2391	112.4
221	2203	113.8
222	2095	115.3
223	2495	115.6
224	2455	115.3
225	2374	115.7
226	2038	116.7
227	2611	116.8
228	0629	118.0
229	2368	118.0
230	1360	119.7
231	2032	120.7
232	2703	121.4
233	2122	123.1
234	2445	122.2
235	2065	123.7
236	2291	124.5
237	2246	125.3
238	2052	126.9
239	2346	127.0
240	2659	128.1
241	2159	127.9
242	1278	128.8
243	2453	128.8
244	2093	130.3
245	2034	129.8
246	2367	132.2
247	2452	132.3
248	2359	132.7
249	2056	135.1
250	1605	135.3
251	1344	135.4
252	2144	135.5
253	1151	137.8
254	2604	137.9
255	2276	138.6
256	1323	139.7
257	2250	141.4
258	2059	142.7
259	2451	141.8
260	2422	143.0
261	2172	143.3
262	1324	143.6
263	1604	144.3
264	2044	145.1
265	2491	145.6
266	1514	146.0
267	2569	146.4
268	2711	147.0
269	2062	147.7
270	2268	148.7
271	2210	151.1
272	2543	152.2
273	2290	153.8
274	2427	153.1
275	2289	154.0
276	2587	154.8
277	2434	155.8
278	1321	156.2
279	2235	156.4
280	1332	155.9
281	2572	156.8
282	1292	158.1
283	2348	157.1
284	1164	157.7
285	2506	157.8
286	2214	158.4
287	2556	158.8
288	1511	159.2
289	2378	158.6
290	2113	161.3
291	2514	161.9
292	1177	163.5
293	2116	163.7
294	1303	163.7
295	2630	165.1
296	2537	165.6
297	2594	166.4
298	2518	166.9
299	1070	167.2
300	2123	168.2
301	2404	169.2
302	2598	169.1
303	2390	171.8
304	1050	172.1
305	2710	174.4
306	2512	175.2
307	2081	176.5
308	1299	175.9
309	1524	177.5
310	2638	177.4
311	2288	177.7
312	2344	178.9
313	2063	180.3
314	2635	180.3
315	2722	181.4
316	2025	181.9
317	1274	182.1
318	2080	182.7
319	2071	182.4
320	1221	183.3
321	1284	183.9
322	2379	184.0
323	1343	184.6
324	2593	185.0
325	2667	185.3
326	2603	187.5
327	2287	187.5
328	2130	187.8
329	2360	187.9
330	2278	188.8
331	0294	191.1
332	2560	192.9
333	1247	193.8
334	1073	193.9
335	2173	194.8
336	1342	195.1
337	2681	195.7
338	1184	195.4
339	2661	196.1
340	2376	197.3
341	2266	197.5
342	2181	197.5
343	2269	197.9
344	2064	199.7
345	1294	200.7
346	2614	201.2
347	2436	201.8
348	2370	203.7
349	1272	203.4
350	2606	204.5
351	2579	204.7
352	0624	204.9
353	0293	205.7
354	2432	206.1
355	2328	206.8
356	1066	207.4
357	1185	207.5
358	2314	210.0
359	1264	211.3
360	2497	211.7
361	1263	213.1
362	1198	213.2
363	2617	214.2
364	2145	214.7
365	2612	214.9
366	2549	215.5
367	2088	217.1
368	2564	217.8
369	2171	217.8
370	2322	219.5
371	2559	220.0
372	2004	220.7
373	0309	222.4
374	2454	223.5
375	2053	224.2
